info@hoteldabruno.com,
info@palazzocontarini.com,
info@hotelgiglio.com,
info@hotelcentauro.com,
info@cadeipolo.com,
info@alredentoredivenezia.com,
info@albailodivenezia.it,
cazusto@dominahome.it,
casadeipittori@gmail.com,
info@palazzocendon.it,
info@bbdiamante.com,
info@locandaorsaria.com,
info@hotel-florida.com,
info@nuovagrotta.com,
info@cabauta.com,
campiello@hcampiello.it,
giudecca@dominahome.it,
info@alberghieravenezia.it,
info@hoteldragomanni.com,
info@hoteldragomanni.com,
info@alloggisantasofia.com,
info@hotelgabrielli.it,
info@locandavivaldi.it,
booking@hhvenice.com,
veronica@hhvenice.com,
info@casanmarcuola.com,
info@cadeldose.com,
info@alborohotel.it,
info@casasantangelo.com,
info@anticocasin.com,
info@cafurlan.it,
info@veniceresidence.it,
info@margheritahouse.com,
info@bauervenezia.com,
info@alcampanile-madonnadellorto.com,
info@hotelserenissima.it,
info@hotelalnuovoteson.com,
alberto@enjoygardahotel.com,
info@hpdg.it,
info@hotelsanmarcogarda.com,
info@kairosgardahotel.it,
sirmionehotel@gmail.com,
info@aurorasirmione.com,
info@hotelflaminia.it,
info@hotel-desiree.it,
venezia@termevenezia.it,
roma@termeroma.it,
info@hotelaqua.it,
info@termehelvetia.it,
laresidence@gbhotelsabano.it,
abanograndhotel@gbhotelsabano.it,
universal@universalterme.it,
info@termedellenazioni.it,
info@millepini.it,
info@hotelolimpiacortina.com,
info@hotelimperocortina.it,
royal.cortina@dolomiti.org,
info@meisules.it,
info@hotelantares.com,
info@hotelalaska.it,
info@hotel-acadia.com,
 salvan@altabadiaclub.com,
info@hotel-lavilla.it,
info@sporthotelteresa.com ,
info@htlscoiattolo.com,
hotel@andreashofer.it,
hotel@muehlgarten.com,
reservations@hotelcastellodisinio.com,
info@totavirginia.com,
info@albergoagenzia.it,
info@caorlina.it,
info@hotelveneziacaorle.it,
info@hotelsangiorgio.info,
info@hotelserenacaorle.it,
splendid@splendidhotel.it,
info@hoteloliver.it,
info@hotelaristoncaorle.it,
info@hotelnederland.it,
savoy@savoyhotel.it,
info@hotelstellamare.com,
info@hotelolympus.it,
info@maregolf.it,
info@touringcaorle.it,
info@marelago.it,
info@europacaorle.it,
info@hotelspessotto.it,
info@hoteldore.it,
info@agriturismolapalazzina.net,
info@hotelandreis.it,
hotel@regina-adelaide.it,
tobago@zaglio.it ,
info@hotelremat.it,
 info@hotelitaliagarda.com,
 info@miralago.it,
info@hotelbenacogarda.it,
info@hotelterminusgarda.it,
info@hotelcortina.net,
hotels@europlan.it,
villamadrina@villamadrina.it,
info@poiano.com,
info@bertoletta.it,
info@albergo-papa.it,
anticotermine.vr@bestwestern.it,
info@hotelcortina.com,
info@hotelvictoria-bassano.com,105
